"Sl. No.","Date","Invoice No.","Model","Part No.","Part Description","Remarks (Nature)","SN","Spare","Qty","Replacement Status","Rep Serial No","Addl Remarks"
"1","28 Jul 2026","gfyhg","TS-III Analog Upgradable","11-100-0006","Power cord (Indian type)","","","","1","Replacement Pending from BLT","",""
"2","28 Jul 2026","gfyhg","TS-III Analog Upgradable","11-100-0006","Power cord (Indian type)","","","","1","Replacement Pending from BLT","",""
"3","28 Jul 2026","gfyhg","TS-III Analog Upgradable","11-100-0006","Power cord (Indian type)","","","","1","Replacement Pending from BLT","",""
"4","28 Jul 2026","gfyhg","TS-III Analog Upgradable","11-100-0006","Power cord (Indian type)","","","","1","Replacement Pending from BLT","",""
"5","28 Jul 2026","gfyhg","TS-III Analog Upgradable","11-100-0006","Power cord (Indian type)","","","","1","Replacement Pending from BLT","",""
"6","28 Jul 2026","gfyhg","TS-III Analog Upgradable","11-100-0006","Power cord (Indian type)","","","","1","Replacement Pending from BLT","",""
"7","28 Jul 2026","gfyhg","TS-III Analog Upgradable","11-100-0006","Power cord (Indian type)","","","","1","Replacement Pending from BLT","",""
"8","28 Jul 2026","gfyhg","TS-III Analog Upgradable","11-100-0006","Power cord (Indian type)","","","","1","Replacement Pending from BLT","",""
"9","28 Jul 2026","gfyhg","TS-III Analog Upgradable","11-100-0006","Power cord (Indian type)","","","","1","Replacement Pending from BLT","",""
"10","28 Jul 2026","gfyhg","TS-III Analog Upgradable","11-100-0006","Power cord (Indian type)","","","","1","Replacement Pending from BLT","",""
"11","28 Jul 2026","gfyhg","TS-III Analog Upgradable","11-100-0006","Power cord (Indian type)","","","","1","Replacement Pending from BLT","",""
"12","28 Jul 2026","gfyhg","TS-III Analog Upgradable","11-100-0006","Power cord (Indian type)","","","","1","Replacement Pending from BLT","",""
"13","28 Jul 2026","gfyhg","TS-III Analog Upgradable","11-100-0006","Power cord (Indian type)","","","","1","Replacement Pending from BLT","",""
"14","28 Jul 2026","gfyhg","TS-III Analog Upgradable","11-100-0006","Power cord (Indian type)","","","","1","Replacement Pending from BLT","",""
