"Inward Date","Invoice Date","Invoice NO","Inward Qty","Part No","Defective Items","Problem Description","Spares Required","Required Qty","Serial No / Lot No"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Alarm LED Blue Glowing Continously","IF to Alarm PCB 4 Pin Cable","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","NIBP Key Function Not Working","16Pin Communication Cable","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Unit Reboot","MB350 Mainboard","1","AJ-D26030043"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Battery % not Shows Properly","IF Board","1","17MF0000349"
"01 May 2026","—","26ZXS042003","200","60.000854A","Back cabinet (cabinet assembly)-TS III","Speaker problem","Back Cabinet","1","NA"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","Respiration Waveform not coming","Analog Upgradeble BM100A Module","1","00ZF0000746"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","Respiration Waveform not coming","Analog Upgradeble BM100A Module","1","00ZF0000841"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","NIBP Value Not Shown Properly","Analog Upgradeble BM100A Module","1","00ZF0000764"
"01 May 2026","—","26ZXS042003","200","60.000840A","Front cabinet (cabinet assembly)","Insert Broken","Front Cabinet","1","NA"
"01 May 2026","—","26ZXS042003","200","60.000802A","LCD Assembly","Lcd Horizontal line","LCD","1","NL-3U26031966"
"01 May 2026","—","26ZXS042003","191","60.000841A","Power source assembly frame-TS III","Battery Lock Scratch","Battery Lock","1","NA"
"01 May 2026","—","26ZXS042003","200","60.000840A","Front cabinet (cabinet assembly)","Insert Broken","Front Cabinet","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Alarm LED Blue Glowing Continously","IF to Alarm PCB 4 Pin Cable","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","NIBP Key Function Not Working","16Pin Communication Cable","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Unit Reboot","MB350 Mainboard","1","AJ-D26030043"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Battery % not Shows Properly","IF Board","1","17MF0000349"
"01 May 2026","—","26ZXS042003","200","60.000854A","Back cabinet (cabinet assembly)-TS III","Speaker problem","Back Cabinet","1","NA"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","Respiration Waveform not coming","Analog Upgradeble BM100A Module","1","00ZF0000746"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","Respiration Waveform not coming","Analog Upgradeble BM100A Module","1","00ZF0000841"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","NIBP Value Not Shown Properly","Analog Upgradeble BM100A Module","1","00ZF0000764"
"01 May 2026","—","26ZXS042003","200","60.000802A","LCD Assembly","Lcd Horizontal line","LCD","1","NL-3U26031966"
"01 May 2026","—","26ZXS042003","191","60.000841A","Power source assembly frame-TS III","Battery Lock Scratch","Battery Lock","1","NA"
"01 May 2026","—","26ZXS042003","200","60.000840A","Front cabinet (cabinet assembly)","Insert Broken","Front Cabinet","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Alarm LED Blue Glowing Continously","IF to Alarm PCB 4 Pin Cable","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","NIBP Key Function Not Working","16Pin Communication Cable","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Unit Reboot","MB350 Mainboard","1","AJ-D26030043"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Battery % not Shows Properly","IF Board","1","17MF0000349"
"01 May 2026","—","26ZXS042003","200","60.000854A","Back cabinet (cabinet assembly)-TS III","Speaker problem","Back Cabinet","1","NA"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","Respiration Waveform not coming","Analog Upgradeble BM100A Module","1","00ZF0000746"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","Respiration Waveform not coming","Analog Upgradeble BM100A Module","1","00ZF0000841"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","NIBP Value Not Shown Properly","Analog Upgradeble BM100A Module","1","00ZF0000764"
"01 May 2026","—","26ZXS042003","200","60.000802A","LCD Assembly","Lcd Horizontal line","LCD","1","NL-3U26031966"
"01 May 2026","—","26ZXS042003","191","60.000841A","Power source assembly frame-TS III","Battery Lock Scratch","Battery Lock","1","NA"
"01 May 2026","—","26ZXS042003","200","60.000840A","Front cabinet (cabinet assembly)","Insert Broken","Front Cabinet","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Alarm LED Blue Glowing Continously","IF to Alarm PCB 4 Pin Cable","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","NIBP Key Function Not Working","16Pin Communication Cable","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Unit Reboot","MB350 Mainboard","1","AJ-D26030043"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Battery % not Shows Properly","IF Board","1","17MF0000349"
"01 May 2026","—","26ZXS042003","200","60.000854A","Back cabinet (cabinet assembly)-TS III","Speaker problem","Back Cabinet","1","NA"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","Respiration Waveform not coming","Analog Upgradeble BM100A Module","1","00ZF0000746"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","Respiration Waveform not coming","Analog Upgradeble BM100A Module","1","00ZF0000841"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","NIBP Value Not Shown Properly","Analog Upgradeble BM100A Module","1","00ZF0000764"
"01 May 2026","—","26ZXS042003","200","60.000802A","LCD Assembly","Lcd Horizontal line","LCD","1","NL-3U26031966"
"01 May 2026","—","26ZXS042003","191","60.000841A","Power source assembly frame-TS III","Battery Lock Scratch","Battery Lock","1","NA"
"01 May 2026","—","26ZXS042003","200","60.000840A","Front cabinet (cabinet assembly)","Insert Broken","Front Cabinet","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Alarm LED Blue Glowing Continously","IF to Alarm PCB 4 Pin Cable","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","NIBP Key Function Not Working","16Pin Communication Cable","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Unit Reboot","MB350 Mainboard","1","AJ-D26030043"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Battery % not Shows Properly","IF Board","1","17MF0000349"
"01 May 2026","—","26ZXS042003","200","60.000854A","Back cabinet (cabinet assembly)-TS III","Speaker problem","Back Cabinet","1","NA"
"01 May 2026","—","26ZXS042003","191","60.000841A","Power source assembly frame-TS III","Battery Lock Scratch","Battery Lock","1","NA"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","Respiration Waveform not coming","Analog Upgradeble BM100A Module","1","00ZF0000746"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","Respiration Waveform not coming","Analog Upgradeble BM100A Module","1","00ZF0000841"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","NIBP Value Not Shown Properly","Analog Upgradeble BM100A Module","1","00ZF0000764"
"01 May 2026","—","26ZXS042003","200","60.000840A","Front cabinet (cabinet assembly)","Insert Broken","Front Cabinet","1","NA"
"01 May 2026","—","26ZXS042003","200","60.000802A","LCD Assembly","Lcd Horizontal line","LCD","1","NL-3U26031966"
"01 May 2026","—","26ZXS042003","191","60.000841A","Power source assembly frame-TS III","Battery Lock Scratch","Battery Lock","1","NA"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","Respiration Waveform not coming","Analog Upgradeble BM100A Module","1","00ZF0000746"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","Respiration Waveform not coming","Analog Upgradeble BM100A Module","1","00ZF0000841"
"01 May 2026","—","26ZXS042003","199","60.000857A","Analog Upgradable BM100A Module","NIBP Value Not Shown Properly","Analog Upgradeble BM100A Module","1","00ZF0000764"
"01 May 2026","—","26ZXS042003","200","60.000802A","LCD Assembly","Lcd Horizontal line","LCD","1","NL-3U26031966"
"01 May 2026","—","26ZXS042003","200","60.000854A","Back cabinet (cabinet assembly)-TS III","Speaker problem","Back Cabinet","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Alarm LED Blue Glowing Continously","IF to Alarm PCB 4 Pin Cable","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","NIBP Key Function Not Working","16Pin Communication Cable","1","NA"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Unit Reboot","MB350 Mainboard","1","AJ-D26030043"
"01 May 2026","—","26ZXS042003","194","60.000843A","MB350 arm board assembly-TS III","Battery % not Shows Properly","IF Board","1","17MF0000349"
