"Inward Date","Invoice NO","Inward Qty","Part No","Defective Items","Problem Description","Spares Required","Required Qty","Serial No / Lot No"
"10 May 2026","26ZXS042101","500","M1000102","Front cover assembly without touch screen","Encoder PCB connector Damage","Encoder PCB of M10","1","NA"
"10 May 2026","26ZXS042101","500","M1000104","Mainboard Without VGA& 3 In1 interface","Connector damage","Main board without VGA & 3 in 1 interface","1","61SF0001567"
"10 May 2026","26ZXS042101","500","M1000104","Mainboard Without VGA& 3 In1 interface","Connector damage","Main board without VGA & 3 in 1 interface","1","61SF0001776"
"10 May 2026","26ZXS042101","500","M1000104","Mainboard Without VGA& 3 In1 interface","Connector damage","Main board without VGA & 3 in 1 interface","1","61SF0002070"
"10 May 2026","26ZXS042101","500","M1000104","Mainboard Without VGA& 3 In1 interface","NIBP not working","Main board without VGA & 3 in 1 interface","1","61SF0002150"
"10 May 2026","26ZXS042101","500","M1000104","Mainboard Without VGA& 3 In1 interface","Capacitor damage","Main board without VGA & 3 in 1 interface","1","61SF0002180"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Dull display","LCD","1","NL-2U26030007"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Dull display","LCD","1","NL-2U25120089"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Dull display","LCD","1","NL-2U25120065"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Dot issue","LCD","1","NL-2U26030701"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Dot issue","LCD","1","NL-2U26030867"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Dot issue","LCD","1","NL-2U26030732"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Dot issue","LCD","1","NL-2U26030972"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Dot issue","LCD","1","NL-2U26030871"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Dot issue","LCD","1","NL-2U26030753"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Dot issue","LCD","1","NL-2U25120009"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Dot issue","LCD","1","NL-2U25120020"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Dot issue","LCD","1","NL-2U25120198"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Dot issue","LCD","1","NL-2U25120115"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Dot issue","LCD","1","NL-2U26030780"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Dot issue","LCD","1","NL-2U26030783"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Gap in LCD","LCD","1","NL-2U26030907"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Gap in LCD","LCD","1","NL-2U25120094"
"10 May 2026","26ZXS042101","500","M1000107","With LCD and Pump","Serial Number Missing","LCD","1","NA"
