"Model","BLT Invoice No.","Received Date","Received Qty","Problem QTY","Problem reported date to BLT","Replacement Status "
"TS-III Basic","26ZXS051401 -3","2026-06-17","485","2","","Replacement Pending from BLT"
"TS-III Basic","26ZXS051401 -3","2026-06-17","500","3","","Replacement Pending from BLT"
"TS-III Basic","26ZXS051401 -3","2026-06-17","500","2","","Replacement Pending from BLT"
"TS-III Basic","26ZXS051401 -3","2026-06-17","500","11","","Replacement Pending from BLT"
"TS-III Basic","26ZXS051401 -3","2026-06-17","485","9","","Replacement Pending from BLT"
"TS-III Basic","26ZXS051401 -3","2026-06-17","500","10","","Replacement Pending from BLT"
"TS-III Basic","26ZXS051401 -3","2026-06-17","500","11","","Replacement Pending from BLT"
"TS-III Analog Upgradable","26ZXS060101","2026-05-27","200","1","","Replacement Pending from BLT"
"TS-III Analog Upgradable","26ZXS060101","2026-05-27","200","5","","Replacement Pending from BLT"
"TS-III Analog Upgradable","26ZXS060101","2026-05-27","200","4","","Replacement Pending from BLT"
"TS - M10","26ZXS042101","2026-05-10","500","1","","Replacement Pending from BLT"
"TS - M10","26ZXS042101","2026-05-10","500","5","","Replacement Pending from BLT"
"TS - M10","26ZXS042101","2026-05-10","500","18","","Replacement Pending from BLT"
"TS-III Analog Upgradable","26ZXS042003","2026-05-01","200","3","","Replacement Pending from BLT"
"TS-III Analog Upgradable","26ZXS042003","2026-05-01","194","3","","Replacement Pending from BLT"
"TS-III Analog Upgradable","26ZXS042003","2026-05-01","200","1","","Replacement Pending from BLT"
"TS - Ultra Q5 Digital","26ZXS040801","2026-04-23","100","1","","Replacement Pending from BLT"
"TS - Ultra Q5 Digital","26ZXS040801","2026-04-23","100","2","","Replacement Pending from BLT"
"TS-III Masimo","26ZXS020302","2026-03-04","15","1","","Replacement Pending from BLT"
"TS - Ultra Q5 Digital","26ZXS012801","2026-02-17","100","1","","Replacement Pending from BLT"
"TS - Ultra Q5 Digital","26ZXS012801","2026-02-17","100","3","","Replacement Pending from BLT"
"TS - Ultra Q5 Digital","26ZXS012801","2026-02-17","100","1","","Replacement Pending from BLT"
